"id_mesa","id_establecimiento","descripcion","sexo","ciudadanos_habilitados","tipo","extranjera"
597,4965,597,,350,"Electronica","NO"
598,4968,598,,350,"Electronica","NO"
599,4970,599,,350,"Electronica","NO"
600,5285,600,,350,"Electronica","NO"
601,8520,601,,350,"Electronica","NO"
602,9084,602,,350,"Electronica","NO"
603,9221,603,,350,"Electronica","NO"
604,4953,604,,350,"Electronica","NO"
605,4958,605,,350,"Electronica","NO"
606,4982,606,,350,"Electronica","NO"
607,4983,607,,350,"Electronica","NO"
608,4984,608,,350,"Electronica","NO"
609,4985,609,,350,"Electronica","NO"
610,4988,610,,350,"Electronica","NO"
611,4989,611,,350,"Electronica","NO"
612,4991,612,,350,"Electronica","NO"
613,8014,613,,350,"Electronica","NO"
614,4994,614,,350,"Electronica","NO"
615,4995,615,,350,"Electronica","NO"
616,4996,616,,350,"Electronica","NO"
617,5289,617,,350,"Electronica","NO"
618,4966,618,,350,"Electronica","NO"
619,9087,619,,350,"Electronica","NO"
620,9090,620,,350,"Electronica","NO"
621,4971,621,,350,"Electronica","NO"
622,4974,622,,350,"Electronica","NO"
623,4993,623,,350,"Electronica","NO"
624,4997,624,,350,"Electronica","NO"
625,5291,625,,350,"Electronica","NO"
626,8535,626,,350,"Electronica","NO"
627,9093,627,,350,"Electronica","NO"
628,4445,628,,350,"Electronica","NO"
629,4450,629,,350,"Electronica","NO"
630,4453,630,,350,"Electronica","NO"
631,4457,631,,350,"Electronica","NO"
632,5006,632,,350,"Electronica","NO"
633,5295,633,,350,"Electronica","NO"
634,5297,634,,350,"Electronica","NO"
635,9096,635,,350,"Electronica","NO"
636,5170,636,,350,"Electronica","NO"
637,8166,637,,350,"Electronica","NO"
638,4480,638,,350,"Electronica","NO"
639,4491,639,,350,"Electronica","NO"
640,4495,640,,350,"Electronica","NO"
641,8803,641,,350,"Electronica","NO"
642,4442,642,,350,"Electronica","NO"
643,4485,643,,350,"Electronica","NO"
644,4490,644,,350,"Electronica","NO"
645,8767,645,,350,"Electronica","NO"
646,4447,646,,350,"Electronica","NO"
647,5004,647,,350,"Electronica","NO"
648,5007,648,,350,"Electronica","NO"
649,5013,649,,350,"Electronica","NO"
650,5014,650,,350,"Electronica","NO"
651,5016,651,,350,"Electronica","NO"
652,5298,652,,350,"Electronica","NO"
653,5300,653,,350,"Electronica","NO"
654,5301,654,,350,"Electronica","NO"
655,6968,655,,350,"Electronica","NO"
656,8171,656,,350,"Electronica","NO"
657,4424,657,,350,"Electronica","NO"
658,4462,658,,350,"Electronica","NO"
659,4469,659,,350,"Electronica","NO"
660,4471,660,,350,"Electronica","NO"
661,4475,661,,350,"Electronica","NO"
662,5159,662,,350,"Electronica","NO"
663,4507,663,,350,"Electronica","NO"
664,5164,664,,350,"Electronica","NO"
665,8771,665,,350,"Electronica","NO"
666,8774,666,,350,"Electronica","NO"
667,4419,667,,350,"Electronica","NO"
668,4481,668,,350,"Electronica","NO"
669,4489,669,,350,"Electronica","NO"
670,8777,670,,350,"Electronica","NO"
671,8779,671,,350,"Electronica","NO"
672,8985,672,,350,"Electronica","NO"
673,4427,673,,350,"Electronica","NO"
674,4434,674,,350,"Electronica","NO"
675,5015,675,,350,"Electronica","NO"
676,5302,676,,350,"Electronica","NO"
677,8782,677,,350,"Electronica","NO"
678,8785,678,,350,"Electronica","NO"
679,4992,679,,350,"Electronica","NO"
680,5017,680,,350,"Electronica","NO"
681,8824,681,,350,"Electronica","NO"
682,8826,682,,350,"Electronica","NO"
683,4504,683,,350,"Electronica","NO"
684,4511,684,,350,"Electronica","NO"
685,4519,685,,350,"Electronica","NO"
686,5177,686,,350,"Electronica","NO"
687,7227,687,,350,"Electronica","NO"
688,4546,688,,350,"Electronica","NO"
